,ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination,AbnRet,|AbnRet|,AbnVol,Stories,AbnStories,Terms,MCap,BM,AbnRetPrev5,AbnVolPrev5,Illiq
206,FCX,20150324,1,264.0,1.0,1.0,0.76,0.42,0.22404849838606844,0.18044927329228327,-0.006453828401023571,0.006453828401023571,-0.013592565903308838,1,0.0,264.0,23.69886772454722,2.999527960160208e-06,0.05312660515032727,0.008475720363316947,0.00010657819404904105
207,FDX,20150318,1,201.0,1.0,1.0,0.71,0.15999999999999992,0.17684480981317707,-0.08816543834752069,-0.011020667295331162,0.011020667295331162,-0.021617048249108296,1,0.0,201.0,24.60955732831289,7.409834090145512e-07,0.032593879662718546,0.00030630250578838404,4.186109956214078e-05
208,FDX,20150407,1,118.0,1.0,0.0,0.9,0.040000000000000036,0.3718295863858265,-0.22149959703704086,0.0208187803053628,0.0208187803053628,0.021790000790405408,1,-0.01818181818181818,118.0,24.6154742587069,7.366120071541412e-07,0.010506796192331516,-0.0033439484615226086,2.2634270801916146e-05
209,FDX,20150617,1,44.0,0.0,0.0,0.1,0.03,-0.4206077110541321,-0.24398483457673215,-0.03552487239655629,0.03552487239655629,-0.03502988033411677,1,-0.01818181818181818,44.0,24.645580871475893,7.337888267611423e-07,0.006740840321997853,-0.0035343201486345414,2.4810610483552122e-05
210,FDX,20150713,1,288.0,0.0,0.0,0.44,0.38,-0.09687878415767608,0.14345357052971378,0.0015233394667576623,0.0015233394667576623,0.009129906873920403,1,-0.01818181818181818,288.0,24.597602039043856,7.698534081459495e-07,-0.0017302591127214698,-0.00955813493491028,3.960912294492931e-05
211,FDX,20150721,2,183.0,0.0,0.0,0.46,0.2,-0.051212140312556,-0.05140404603063548,0.0009894922068576421,0.0009894922068576421,-0.004666581349686944,2,-0.03636363636363636,183.0,24.601777351768888,7.666457306029547e-07,-0.03534428886530319,-0.007356968065421171,1.811250417912658e-05
212,FDX,20150731,1,312.0,0.0,0.0,0.2,0.17,-0.337746701081815,-0.06367378349605876,0.0013618854549812503,0.0013618854549812503,-0.005493581823764511,1,-0.07272727272727272,312.0,24.588899115837766,7.765826226826705e-07,0.02982838340551627,-0.0018973360107968108,5.126709631243021e-05
213,FIS,20150730,1,58.0,1.0,1.0,0.84,0.49,0.3174930965262641,0.21791263723367588,0.03463469335997112,0.03463469335997112,0.034962794072290436,1,0.0,58.0,23.607316458489098,7.996778187604621e-07,7.328616830478904e-05,-0.010083957266444576,0.00010295825667726232
214,FIT,20150618,2,334.0,1.0,1.0,0.7649999999999999,0.43,0.2475223485079397,0.1982994956440464,0.0,0.0,0.0,2,0.0,334.0,0.0,0.0,0.0,0.0,0.0
215,FOXA,20150506,1,33.0,0.0,0.0,0.53,0.23000000000000004,0.011189275890699846,-0.044638803486517054,0.004203550951177705,0.004203550951177705,-0.014107653633091539,1,0.0,33.0,24.479013716174958,1.2040351930517227e-06,-0.018361364504895627,-0.01030728803631006,2.5592016346798062e-05
