date,mcap,WeightedReturn,WeightedTurnover,ValueWeightedReturn,ValueWeightedTurnover
20150212,13093723474.333601,121399286.20425548,93586130.55514155,0.009271563313691718,0.007147403925139375
20150213,13168577262.361944,62101845.213978715,82412033.87309216,0.004715911520030068,0.006258233690031186
20150217,13189111213.629023,14199641.513673276,79149386.3273031,0.0010766185290029262,0.006001115999803971
20150218,13202439399.355865,-14778860.81043084,69817414.39574146,-0.0011194037982974485,0.005288220781316201
20150219,13170429178.964481,-12297410.661604285,73576289.34810856,-0.000933713738140397,0.005586476214884705
20150220,13185100846.278414,85671671.10777768,82660003.2141444,0.00649761212345669,0.0062691976480009825
20150223,13271683588.822996,-2710735.549815369,82674147.18561663,-0.0002042495612311212,0.006229363941078451
20150224,13290781944.742386,44735511.73746748,79193279.09455311,0.0033659051757420574,0.005958511652949108
20150225,13318318045.190369,-7035275.1609507175,84483336.53333834,-0.0005282405133350424,0.0063433938314641555
20150226,13321816712.570797,4742270.91367341,88595516.5573922,0.00035597779311874825,0.006650408008825949
20150227,13298028184.935438,-46718434.312921,83984154.94502588,-0.0035131850875339244,0.006315534436914988
20150302,13264109466.934414,96265371.74970533,80719693.70630929,0.0072575827265058054,0.0060855720399120876
20150303,13324589645.357641,-57490407.8592135,77780488.93406892,-0.004314610009715644,0.005837364677205505
20150304,13255543818.040976,-47921139.17585734,78803572.66682206,-0.003615177154077679,0.00594495207051176
20150305,13277255945.830206,8201109.580035246,74267591.56195424,0.0006176810640312201,0.005593594931434487
20150306,13221494624.001427,-178764580.25425968,92268675.54389578,-0.013520754297304805,0.006978687218644504
20150309,13093756150.488588,56900929.430941746,80526768.8360292,0.004345653667058594,0.00615001286953281
20150310,13029722666.98363,-226311492.52930903,90420620.58638805,-0.017368864887874085,0.006939566013596539
20150311,12941941262.294844,-28952895.275143035,88524703.81620847,-0.00223713697105817,0.006840141059372372
20150312,12922423838.860601,163226897.66750148,84123735.43629187,0.012631291134147907,0.006509903752213505
20150313,13003431377.638828,-69964664.93377072,83074103.28281869,-0.005380477114224211,0.006388629344841695
20150316,13020197344.986877,172026859.83807966,81776004.97062047,0.013212308176290015,0.006280703955851054
20150317,13010957388.755909,-35068858.96896648,76766071.45607941,-0.002695332704668839,0.005900109358779453
20150318,12999969812.75409,145067460.08948302,102713388.72752139,0.011159061303908518,0.007901048249108296
20150319,13146116153.05221,-54187576.58669374,80484393.46137774,-0.004121945672457238,0.006122294411851154
20150320,13191535369.01607,113477594.12829699,146595902.09630564,0.008602303746600275,0.011112876401076574
20150323,13237059291.327978,-17289870.900299665,77675987.3731822,-0.0013061715989764293,0.005868069762599782
20150324,13205518727.21763,-74347090.44642784,77022058.26387587,-0.005630001515441611,0.005832565903308838
20150325,13157382542.065327,-223447470.02297658,92125135.69246887,-0.016982668802749717,0.007001782869650296
20150326,12862111433.799023,-31451226.402428642,86507096.73967874,-0.0024452615392354005,0.006725730622450962
20150327,12892067987.041498,21368244.772454925,72285561.8191378,0.0016574722374977607,0.005606979570057794
20150330,12984877746.5384,151519668.45582962,71910123.77865815,0.011668933001407948,0.005537990051375606
20150331,13032304816.080193,-124114550.69931346,79048044.88314988,-0.009523607101805356,0.006065546041066713
20150401,12951230791.944494,-61382412.02802732,87549187.27672397,-0.004739504145521553,0.006759912527477966
20150402,12902896785.450565,40255874.33691926,70159501.64597116,0.003119909816089685,0.005437500029069729
20150406,12865576086.83478,78740152.14949965,72160361.570371,0.0061202196946372025,0.005608793658623029
20150407,13026752226.492752,-17333645.696561202,67074736.9177958,-0.0013306191286351053,0.005148999209594594
20150408,13000951116.621027,45957451.1653035,76889515.0663908,0.0035349299257459196,0.005914145386493426
20150409,13033967252.201551,64812963.52745142,73838968.57061405,0.004972619792067066,0.005665118466378071
20150410,13121375105.30987,80488232.67400154,76503200.70379455,0.006134130914482439,0.005830425552946486
20150413,13170581975.334673,-54514158.67236658,73471274.72036569,-0.0041390850286235235,0.00557843798079384
20150414,13121678006.62217,21736254.02417458,70818058.41793984,0.0016565148156512343,0.005397027604411555
20150415,13180793329.579546,66893132.065459564,82604860.80825385,0.00507504596975525,0.0062670628954386975
20150416,13193577575.19872,3163897.959721838,78373482.22686292,0.00023980591630198405,0.005940275242265551
20150417,13116748312.522875,-159923550.29010904,98004986.64303872,-0.012192316760200864,0.007471744086868771
20150420,13114272981.946106,127824930.28205054,77108634.5050843,0.009747008504247395,0.005879749080352123
20150421,13221562242.255161,-10270938.178624313,77402045.81878407,-0.0007768324189254379,0.005854228448996194
20150422,13191224884.05848,75073197.00767238,81739490.55438942,0.005691146778825515,0.006196504969994949
20150423,13199557640.5573,25889035.23766842,97767869.79742837,0.0019613562774347154,0.007406905023621724
20150424,13318754861.75754,65047153.683296084,96822082.26160645,0.004883876485336293,0.007269604648976161
20150427,13355683176.567625,-51200861.70757616,100057784.46377529,-0.0038336385365450583,0.0074917758336260475
20150428,13282272991.347658,33184556.122404892,99189284.86079164,0.002498409432182427,0.007467794475042453
20150429,13238431898.977736,-53636929.23756579,100081448.4352696,-0.0040516074446632615,0.007559917156275724
20150430,13214855819.362759,-142957028.9863213,103432603.69301906,-0.010817903043395817,0.007826994490660039
20150501,13157092755.22488,145750597.7896245,87037979.26619308,0.011077720625762462,0.006615289630122048
20150504,13282237513.976593,28699527.4339223,73860572.12292805,0.0021607449350098166,0.005560853135264768
20150505,13262537991.519388,-149582210.47928143,85933099.92609271,-0.011278550951177704,0.00647938576922772
